path,size,expected,status
/mnt/mrdr/mc02/t1637_mrrsu_45n213_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1638_mrral_45n218_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1638_mrrde_45n218_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1638_mrrsu_45n218_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1639_mrral_45n223_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1639_mrrde_45n223_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1639_mrrsu_45n223_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1640_mrral_45n228_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1640_mrrde_45n228_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1640_mrrsu_45n228_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1641_mrral_45n233_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1641_mrrde_45n233_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1641_mrrsu_45n233_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1642_mrral_45n238_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1642_mrrde_45n238_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1642_mrrsu_45n238_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1694_mrral_50n183_0327_4.img,661048704,661048704,OK
/mnt/mrdr/mc02/t1694_mrrde_50n183_0327_4.img,174443408,174443408,OK
/mnt/mrdr/mc02/t1694_mrrsu_50n183_0327_4.img,550873920,550873920,OK
/mnt/mrdr/mc02/t1695_mrral_50n190_0327_4.img,661048704,661048704,OK
/mnt/mrdr/mc02/t1695_mrrde_50n190_0327_4.img,174443408,174443408,OK
/mnt/mrdr/mc02/t1695_mrrsu_50n190_0327_4.img,550873920,550873920,OK
/mnt/mrdr/mc02/t1696_mrral_50n197_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1696_mrrde_50n197_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1696_mrrsu_50n197_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1697_mrral_50n203_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1697_mrrde_50n203_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1697_mrrsu_50n203_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1698_mrral_50n210_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1698_mrrde_50n210_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1698_mrrsu_50n210_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1699_mrral_50n217_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1699_mrrde_50n217_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1699_mrrsu_50n217_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1700_mrral_50n223_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1700_mrrde_50n223_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1700_mrrsu_50n223_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1701_mrral_50n230_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1701_mrrde_50n230_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1701_mrrsu_50n230_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1702_mrral_50n237_0327_4.img,660577536,660577536,OK
/mnt/mrdr/mc02/t1702_mrrde_50n237_0327_4.img,174319072,174319072,OK
/mnt/mrdr/mc02/t1702_mrrsu_50n237_0327_4.img,550481280,550481280,OK
/mnt/mrdr/mc02/t1748_mrral_55n183_0327_4.img,589902336,589902336,OK
/mnt/mrdr/mc02/t1748_mrrde_55n183_0327_4.img,155668672,155668672,OK
/mnt/mrdr/mc02/t1748_mrrsu_55n183_0327_4.img,491585280,491585280,OK
/mnt/mrdr/mc02/t1749_mrral_55n190_0327_4.img,589431168,589431168,OK
/mnt/mrdr/mc02/t1749_mrrde_55n190_0327_4.img,155544336,155544336,OK
/mnt/mrdr/mc02/t1749_mrrsu_55n190_0327_4.img,491192640,491192640,OK
/mnt/mrdr/mc02/t1750_mrral_55n197_0327_4.img,589431168,589431168,OK
/mnt/mrdr/mc02/t1750_mrrde_55n197_0327_4.img,155544336,155544336,OK
/mnt/mrdr/mc02/t1750_mrrsu_55n197_0327_4.img,491192640,491192640,OK
/mnt/mrdr/mc02/t1751_mrral_55n203_0327_4.img,589902336,589902336,OK
/mnt/mrdr/mc02/t1751_mrrde_55n203_0327_4.img,155668672,155668672,OK
/mnt/mrdr/mc02/t1751_mrrsu_55n203_0327_4.img,491585280,491585280,OK
/mnt/mrdr/mc02/t1752_mrral_55n210_0327_4.img,589431168,589431168,OK
/mnt/mrdr/mc02/t1752_mrrde_55n210_0327_4.img,155544336,155544336,OK
/mnt/mrdr/mc02/t1752_mrrsu_55n210_0327_4.img,491192640,491192640,OK
/mnt/mrdr/mc02/t1753_mrral_55n217_0327_4.img,589431168,589431168,OK
/mnt/mrdr/mc02/t1753_mrrde_55n217_0327_4.img,155544336,155544336,OK
/mnt/mrdr/mc02/t1753_mrrsu_55n217_0327_4.img,491192640,491192640,OK
/mnt/mrdr/mc02/t1754_mrral_55n223_0327_4.img,589431168,589431168,OK
/mnt/mrdr/mc02/t1754_mrrde_55n223_0327_4.img,155544336,155544336,OK
/mnt/mrdr/mc02/t1754_mrrsu_55n223_0327_4.img,491192640,491192640,OK
/mnt/mrdr/mc02/t1755_mrral_55n230_0327_4.img,589902336,589902336,OK
/mnt/mrdr/mc02/t1755_mrrde_55n230_0327_4.img,155668672,155668672,OK
/mnt/mrdr/mc02/t1755_mrrsu_55n230_0327_4.img,491585280,491585280,OK
/mnt/mrdr/mc02/t1756_mrral_55n237_0327_4.img,589431168,589431168,OK
/mnt/mrdr/mc02/t1756_mrrde_55n237_0327_4.img,155544336,155544336,OK
/mnt/mrdr/mc02/t1756_mrrsu_55n237_0327_4.img,491192640,491192640,OK
/mnt/mrdr/mc02/t1802_mrral_60n183_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1802_mrrde_60n183_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1802_mrrsu_60n183_0327_4.img,428370240,428370240,OK
